,"Mitchell, Bob",,"1,001 Life story questions",".","Engadine NSW, Bob Mitchell, 6th. ed., 2010",".","95p.",".",646459236,,"...............",,"907.2  MIT","2012 - Jan.","...................","32.95",".........",,743,"Oral history   2. Interviewing"
,"Hutton, Geoffrey & Tanner, Les",,"125 years of Age",".","West Melbourne, Nelson, 1979",".","214p., illus.",".",,,"...............",,"079.9451  AGE","...............","don. - Sheila Skidmore","........",".........",,478,"Age (Vic.)    2. Victoria - Newspapers"
,"Kranzberg, Melvin",,"1848: a turning point?",".","Mass., Heath, 1959",".","104p.",".",,,"Problems in European civilization",0,"940.284  KRA","2011 - June","don. - Julie Curran","........",".........",,688,"Europe - History"
,".......................................",,"1851 surname index of Lancashire. Vol.37, Blackburn sub-district",".","Lancashire Family History & Heritage Society, n.d",".","n,p,",".",,,"...............",,"929.342  LAN","2010 - July","G.S.V.","1.00","........",,654,"England - Lancashire - Census"
,"Golden Dragon Museum",,"1880's Processional regalia of  the Bendigo Chinese Association",,"Bendigo (Vic.), Golden Dragon Museum, 2010",,"92p., illus.",,"9780980800609",,,,"305.895  GOL","2017 - Feb.","Bill's Book Shed",".............","........",,1097,"Golden Dragon Museum (Bendigo, Vic.)   2. Chinese in Victoria   3.  Victoria - Bendigo   4. China - History"
,".......................................",,"1886-1986 :Scott & Co. A proud record of 100 Years in the selling ring ",".","Melbourne, MUP, 1963",".","369p., ",".",,,"...............",,"338.709  ALE","...............","...................","........","........",,2,"Alex Scott & Co - History   2. Scott Family  3. Victoria - Dandenong"
,"Shire of Phillip Island",,"1992 Voter's roll ",".","...............",".","..............",".",,,"...............",,"LH  324.64  SHI","...............","...................","........","........",,3,"Voting registers - Victoria - Phillip Island    2. Victoria - Phillip Island"
,"Shire of Phillip Island",,"1994 Voter's roll ",".","...............",".","..............",".",,,"...............",,"LH  324.64  SHI 1","...............","...................","........","........",,4,"Voting registers - Victoria - Phillip Island    2. Victoria - Phillip Island"
,"Montagu of Beaulieu, Lord",,"40 years at Beaulieu",".","1981",".","48p., illus.",".",,,"...............",,"942.227 MON","...............","...................","........","........",,5,"Montagu of Beaulieu  2. England - Hampshire"
,"Hoy, Alice",,"A City built to music. The history of University High School, Melbourne 1910-1960",0,"Melbourne, University High School, 1961",0,"178p., illus.",,,,"...............",,"373.945  HOY","2014 - April","don. - Jan Andrews","........","........",,965,"University High School (Parkville, Vic.)    2. Education - Victoria"
,"Clarke, Patricia",,"A Colonial woman. The life and times of Mary Braidwood Mowle 1827-1857",,"Sydney, Allen & Unwin, 1986",,"331p, illus.",,409090259,,,,"994.402  CLA","2017 - Sept.","don. - Linda Patterson",".............",,,1130,"Women Pioneers - New South Wales.  2. New South Wales - History - 1788-1851"
,"Facey, Albert Barnett",,"A fortunate life",".","Ringwood, Penguin, 1981",".","326p.",".",,,"...............",,"920.71  FAC","2009","don. - Jenny Adam ","........","........",,571,"Facey, Albert Barnett, 1894-1982  2. Frontier and pioneer life - Australia  3.Western Australia - Social life and customs"
,"Church of Jesus Christ of Latter-Day Saints",0,"A guide to research.  Family History Library",,"Salt Lake City, Utah, Church of Jesus Christ of Latter-Day Saints, nd",0,"17p.",,,,"...............",,"929.3 GUI","2013  Nov.","don. - Rod Grant","........","........",,942,"Genealogy - Libraries   2. Church of Jesus Christ of  Latter-Day Saints Family History Library"
,"Mitchison, Rosalind",,"A History of Scotland  (2nd. ed.)",,"London, Methuen, 2nd.ed. 1982",,"472p., illus.",,,,"...............",,"941.1  MIT","2013  Nov.","don. - Rod Grant","........","........",,926,"Scotland - History"
